Date,SPY,QQQ,EFA,EEM,TLT,IEF,GLD,SLV,DBC,USO,UUP,FXE,FXY,BTC-USD,ETH-USD
2005-06-14,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-15,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-16,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-17,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-20,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-21,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-22,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-23,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-24,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-27,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-28,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-29,-0.49264170074163666,0.3912967021640378,-0.4825568522064657,-0.2827652605707421,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
